min_lon,min_lat,max_lon,max_lat,Island_Letter,Island_Number,Grid_Number,island_number
-91.50135040283205,-0.8499799966812133,-91.46806007566906,-0.8169277469317118,X,1,91,1
-90.83474731445312,-0.8499799966812133,-90.80145698729015,-0.8169277469317118,X,1,92,1
-90.13481903076172,-0.8499799966812133,-90.10152870359876,-0.8169277469317118,X,1,93,5
-90.10148620605469,-0.8499799966812133,-90.0681958788917,-0.8169277469317118,X,1,94,5
-90.03482818603516,-0.8499799966812133,-90.00153785887218,-0.8169277469317118,X,1,95,5
-89.6015396118164,-0.8499799966812133,-89.56824928465343,-0.8169277469317118,X,1,96,6
-89.56820678710938,-0.8499799966812133,-89.5349164599464,-0.8169277469317118,X,1,97,6
-89.36823272705078,-0.8499799966812133,-89.33494239988781,-0.8169277469317118,X,1,98,6
-89.33489990234375,-0.8499799966812133,-89.30160957518078,-0.8169277469317118,X,1,99,6
-89.30156707763672,-0.8499799966812133,-89.26827675047375,-0.8169277469317118,X,1,100,6
-91.50135040283205,-0.8166499733924865,-91.46806007566906,-0.783597723642985,X,1,101,1
-91.468017578125,-0.8166499733924865,-91.43472725096204,-0.783597723642985,X,1,102,1
-90.83474731445312,-0.8166499733924865,-90.80145698729015,-0.783597723642985,X,1,103,1
-90.80142211914062,-0.8166499733924865,-90.76813179197764,-0.783597723642985,X,1,104,1
-90.4347915649414,-0.8166499733924865,-90.40150123777843,-0.783597723642985,X,1,105,4
-90.40145874023438,-0.8166499733924865,-90.3681684130714,-0.783597723642985,X,1,106,4
-90.36813354492188,-0.8166499733924865,-90.3348432177589,-0.783597723642985,X,1,107,4
-90.33480072021484,-0.8166499733924865,-90.30151039305187,-0.783597723642985,X,1,108,4
-90.3014678955078,-0.8166499733924865,-90.26817756834484,-0.783597723642985,X,1,109,4
-90.13481903076172,-0.8166499733924865,-90.10152870359876,-0.783597723642985,X,1,110,5
-90.03482818603516,-0.8166499733924865,-90.00153785887218,-0.783597723642985,X,1,111,5
-89.56820678710938,-0.8166499733924865,-89.5349164599464,-0.783597723642985,X,1,112,6
-89.53488159179688,-0.8166499733924865,-89.5015912646339,-0.783597723642985,X,1,113,6
-89.50154876708984,-0.8166499733924865,-89.46825843992687,-0.783597723642985,X,1,114,6
-89.30156707763672,-0.8166499733924865,-89.26827675047375,-0.783597723642985,X,1,115,6
-89.26824188232422,-0.8166499733924865,-89.23495155516125,-0.783597723642985,X,1,116,6
-91.468017578125,-0.7833200097084044,-91.43472725096204,-0.7502677599589029,X,1,117,1
-91.4346923828125,-0.7833200097084044,-91.40140205564951,-0.7502677599589029,X,1,118,1
-90.80142211914062,-0.7833200097084044,-90.76813179197764,-0.7502677599589029,X,1,119,1
-90.50144958496094,-0.7833200097084044,-90.46815925779795,-0.7502677599589029,X,1,120,4
-90.4681167602539,-0.7833200097084044,-90.43482643309092,-0.7502677599589029,X,1,121,4
-90.4347915649414,-0.7833200097084044,-90.40150123777843,-0.7502677599589029,X,1,122,4
-90.3014678955078,-0.7833200097084044,-90.26817756834484,-0.7502677599589029,X,1,123,4
-90.26814270019531,-0.7833200097084044,-90.23485237303234,-0.7502677599589029,X,1,124,4
-90.23480987548828,-0.7833200097084044,-90.20151954832531,-0.7502677599589029,X,1,125,4
-90.13481903076172,-0.7833200097084044,-90.10152870359876,-0.7502677599589029,X,1,126,5
-90.10148620605469,-0.7833200097084044,-90.0681958788917,-0.7502677599589029,X,1,127,5
-90.06816101074219,-0.7833200097084044,-90.0348706835792,-0.7502677599589029,X,1,128,5
-90.03482818603516,-0.7833200097084044,-90.00153785887218,-0.7502677599589029,X,1,129,5
-89.50154876708984,-0.7833200097084044,-89.46825843992687,-0.7502677599589029,X,1,130,6
-89.26824188232422,-0.7833200097084044,-89.23495155516125,-0.7502677599589029,X,1,131,6
-89.23490905761719,-0.7833200097084044,-89.2016187304542,-0.7502677599589029,X,1,132,6
-91.4346923828125,-0.7499899864196776,-91.40140205564951,-0.7169377366701761,X,1,133,1
